"지수별",2024.03,2024.04,2024.05,2024.06 p),2024.07 p),2024.08 p)
"선행종합지수(2020=100)",114.3,114.9,115.2,115.7,116.0,116.2
"선행종합지수 전월비(%)",0.1,0.5,0.3,0.4,0.3,0.2
"재고순환지표(전월차)(%p)",-2.9,1.1,0.3,0.8,-2.3,0.5
"경제심리지수(전월차)(p)",0.3,1.0,0.2,0.8,0.5,0.1
"기계류내수출하지수(선박제외)(전월비)(%)",-2.1,-0.7,-3.1,-1.7,-0.1,-0.5
"건설수주액(전월비)(%)",-14.7,3.2,-1.8,19.7,2.5,-6.0
"수출입물가비율(전월비)(%)",0.3,0.3,0.3,0.5,0.5,0.4
"코스피(전월비)(%)",1.9,2.0,1.0,0.6,1.7,-0.8
"장단기금리차(전월차)(%p)",0.05,0.05,0.04,-0.04,-0.13,-0.17
"선행지수 순환변동치",100.2,100.5,100.5,100.7,100.7,100.6
"〔순환변동치 전월차〕(p)",-0.2,0.3,0.0,0.2,0.0,-0.1
"선행지수 전년동월비(%)",3.9,4.2,4.2,4.3,4.3,4.0
"〔전년동월비 전월차〕(%p)",-0.1,0.3,0.0,0.1,0.0,-0.3
"동행종합지수(2020=100)",111.9,112.0,111.6,111.7,111.2,111.3
"동행종합지수 전월비(%)",-0.1,0.1,-0.4,0.1,-0.4,0.1
"광공업생산지수(전월비)(%)",-0.5,0.7,-0.5,0.8,-1.3,0.3
"서비스업생산지수(도소매업제외)(전월비)(%)",0.2,0.2,-0.4,-0.2,-0.1,0.3
"건설기성액(전월비)(%)",0.2,-2.2,-3.6,-0.5,-2.3,-1.2
"소매판매액지수(전월비)(%)",-0.4,-1.0,0.1,0.1,-0.5,0.2
"내수출하지수(전월비)(%)",-1.1,-0.1,-1.1,0.1,-1.7,0.2
"수입액(전월비)(%)",0.1,1.7,1.0,-0.1,0.1,-0.9
"비농림어업취업자수(전월비)(%)",0.0,0.0,-0.2,-0.1,0.0,0.1
"동행지수 순환변동치",99.8,99.7,99.1,99.0,98.3,98.2
"〔순환변동치 전월차〕(p)",-0.3,-0.1,-0.6,-0.1,-0.7,-0.1
"후행종합지수(2020=100)",114.8,115.1,115.2,115.4,115.5,115.8
"후행종합지수 전월비(%)",0.2,0.3,0.1,0.2,0.1,0.3
"생산자제품재고지수(전월비)(%)",0.3,0.2,-0.3,-0.8,-0.1,0.5
"소비자물가지수변화율(서비스)(전월차)(%p)",-0.1,-0.1,-0.1,-0.1,0.0,0.0
"소비재수입액(전월비)(%)",0.1,2.2,1.1,-0.2,-1.5,0.9
"취업자수(전월비)(%)",0.1,0.1,-0.2,-0.1,-0.1,0.0
"CP유통수익률(전월차)(%p)",0.0,0.0,0.0,0.0,-0.1,-0.2
